id,name,tier,engine,emulated,dataset,level,status,input_bytes,archive_bytes,ratio_pct,compress_s_median,decompress_s_median,compress_rss_bytes,verify
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,images,max,ok,17011359,12900286,75.833,1.127,0.285,229687296,6 files verified against manifest
shar,shar (appendix: shell archive),A,native,False,images,default,failed,17011359,,,,,,
squashfs,SquashFS (mksquashfs),A,native,False,images,default,ok,17011359,14254080,83.792,0.068,0.019,49037312,6 files verified against manifest
tar,"tar (uncompressed, baseline)",A,native,False,images,default,ok,17011359,17017856,100.038,0.04,0.024,3342336,6 files verified against manifest
tar-br,tar.br (Brotli),A,native,False,images,default,ok,17011359,12993389,76.381,28.975,0.142,289243136,decompressed tar SHA-256 matches canonical tar
tar-bz2,tar.bz2 (bzip2),A,native,False,images,default,ok,17011359,12863191,75.615,1.188,0.573,8896512,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,images,default,ok,17011359,12416555,72.99,2.151,1.666,104742912,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,images,max,ok,17011359,12417941,72.998,2.402,1.946,1653997568,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,images,default,ok,17011359,14216716,83.572,0.408,0.046,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,images,max,ok,17011359,14214341,83.558,0.41,0.052,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz-zopfli,"tar.gz (zopfli, exhaustive deflate)",A,native,False,images,default,ok,17011359,13858329,81.465,22.047,0.081,213696512,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,images,default,ok,17011359,12923643,75.971,1.324,0.357,343638016,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,images,max,ok,17011359,12923654,75.971,1.428,0.356,444268544,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,images,default,ok,17011359,16058788,94.4,0.017,0.039,27066368,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,images,max,ok,17011359,15005695,88.21,0.163,0.036,35815424,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,images,default,ok,17011359,12928334,75.998,3.762,0.942,94470144,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,images,max,ok,17011359,12919275,75.945,3.365,0.866,188891136,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,images,default,ok,17011359,16268338,95.632,0.043,0.04,2195456,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,images,max,ok,17011359,14962942,87.959,0.98,0.053,2539520,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,images,default,ok,17011359,12827985,75.408,1.21,0.501,61849600,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,images,max,ok,17011359,12829615,75.418,1.538,0.509,96829440,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,images,default,ok,17011359,12911580,75.9,3.364,0.37,129400832,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,images,max,ok,17011359,12906712,75.871,3.103,0.357,252674048,decompressed tar SHA-256 matches canonical tar
tar-z,"tar.Z (compress, LZW 1984)",A,native,False,images,default,ok,17011359,17624039,103.602,0.317,0.137,1966080,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,images,default,ok,17011359,14543121,85.491,0.05,0.043,39813120,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,images,max,ok,17011359,13640058,80.182,1.732,0.034,439582720,decompressed tar SHA-256 matches canonical tar
wim,"WIM (wimlib, LZX)",A,native,False,images,default,ok,17011359,13986232,82.217,0.091,0.078,23953408,6 files verified against manifest
wim,"WIM (wimlib, LZX)",A,native,False,images,max,ok,17011359,13975536,82.154,0.126,0.08,23937024,6 files verified against manifest
xar,xar (macOS eXtensible ARchiver),A,native,False,images,default,ok,17011359,14212764,83.549,0.437,0.057,7782400,6 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,images,default,ok,17011359,14198662,83.466,0.445,0.135,1884160,6 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,images,max,ok,17011359,14196623,83.454,0.448,0.131,1867776,6 files verified against manifest
zoo,zoo (1986),B,native,False,images,default,ok,17011359,17019049,100.045,0.844,0.067,1949696,decompressed tar SHA-256 matches canonical tar
zoo,zoo (1986),B,native,False,images,max,ok,17011359,14302916,84.079,0.92,0.594,1949696,decompressed tar SHA-256 matches canonical tar
zpaq,zpaq (journaling PAQ-family),A,native,False,images,default,ok,17011359,14782922,86.9,0.349,1.407,82624512,6 files verified against manifest
zpaq,zpaq (journaling PAQ-family),A,native,False,images,max,ok,17011359,11459900,67.366,45.564,47.154,504119296,6 files verified against manifest
apple-archive,"Apple Archive (.aar, lzfse)",A,native,False,text,default,ok,11559589,4122000,35.659,0.059,0.036,22069248,4 files verified against manifest
ar,"ar (appendix: unix archiver, store-only)",A,native,False,text,default,ok,11559589,11571268,100.101,0.069,0.039,1228800,decompressed tar SHA-256 matches canonical tar
arc-sea,"ARC (SEA, 1985)",B,native,False,text,default,ok,11559589,5793561,50.119,0.203,0.125,1982464,decompressed tar SHA-256 matches canonical tar
arj,ARJ (1991),B,native,False,text,default,ok,11559589,4135407,35.775,0.47,0.157,2080768,4 files verified against manifest
arj,ARJ (1991),B,native,False,text,max,ok,11559589,4132970,35.754,0.519,0.153,2080768,4 files verified against manifest
cab,"CAB (gcab, MSZIP)",A,native,False,text,default,ok,11559589,4456570,38.553,0.319,0.05,15122432,4 files verified against manifest
cpio,cpio (appendix: store-only),A,native,False,text,default,ok,11559589,11560448,100.007,0.074,0.024,3178496,4 files verified against manifest
dar,dar (Disk ARchive),A,native,False,text,default,ok,11559589,4041230,34.96,0.592,0.049,11763712,4 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,text,default,ok,11559589,5021308,43.438,4.077,0.234,6569984,4 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,text,max,ok,11559589,4201841,36.349,6.07,0.221,6602752,4 files verified against manifest
dmg-ulmo,"DMG (ULMO, lzma-compressed image)",A,native,False,text,default,ok,11559589,3439543,29.755,7.074,0.361,6586368,4 files verified against manifest
freearc,"FreeArc 0.666 (2007, Wine)",C,wine,True,text,default,timeout,11559589,,,,,,
